organisation,officer_name_designation,address,phone_fax_raw,email,source_url
Central Board of Direct Taxes (Income Tax),Dipi Agarwal Commissioner of Income Tax _ TPS-II and R,"Central Board of Direct Taxes Room No 428, 4th Floor Mayur Bhawan, Connaught Circus, New Delhi",01123416148 delhi.dittps[at]incometax.gov[dot]in,delhi.dittps@incometax.gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Central Board of Indirect Taxes and Customs,Dr. Shailendra Kumar Sinha Director General,"Directorate General of Taxpayer Services, 1st Floor,  Central Revenue Building, I.P. Estate, New Delhi",01123705809 shailendra.sinha[at]gov[dot]in,shailendra.sinha@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department for Promotion of Industry and Internal Trade,Jai Prakash Shivahare Joint Secretary,"Room No. 221, Vanijya  Bhavan New Delhi",01123038876 js-jps[at]gov[dot]in,js-jps@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Agriculture and Farmers Welfare,Smt. S. Rukmani Joint Secretary,"Department of Agriculture Co-operation and Farmers Welfare Room No. 189, 1st Floor, Krishi Bhavan, New Delhi",01123381305 s.rukmani[at]nic[dot]in,s.rukmani@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Agriculture Research and Education,Gyanendra Dev Tripathi Additional Secretary,"Room no. 106, Krishi Bhawan",01123384450 secy.icar[at]nic[dot]in,secy.icar@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
"Department of Animal Husbandry, Dairying",Dr. Muthukumarasamy B Joint Secretary,"Room No. 190 A, 1st Floor, Krishi Bhawan, New Delhi",01123382354 js-nlm[at]dahd.nic[dot]in,js-nlm@dahd.nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Atomic Energy,Smt. Nidhi Pandey Additional Secretary,"Department of Atomic Energy, Anushakti Bhavan, C.S.M. Marg, Mumbai, 400001",02222027535 as[at]dae.gov[dot]in,as@dae.gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Bio Technology,Ekta Vishnoi Joint Secretary,"Department of Biotechnology, 7th Floor, Room No. 711, Block 2, CGO Complex, Lodhi Road, New Delhi",01124362982 jsadmin.dbt[at]nic[dot]in,jsadmin.dbt@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Chemicals and Petrochemicals,Ms. Divya Parmar Economic Advisor,"Room No. 217, A wing, Shastri Bhawan.",01123386752 divya.parmar[at]gov[dot]in,divya.parmar@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Commerce,Ms. Priya Nair Economic Adviser,"Room No. 328,  Vanijya Bhawan, New Delhi",01123039556 priyanair.10[at]gov[dot]in,priyanair.10@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Consumer Affairs,MS. M IMKONGLA JAMIR Joint Secretary,"Department of  Consumer Affairs, Krishi Bhawan, New Delhi",01123381883 imkongla.jm[at]ias.nic[dot]in,imkongla.jm@ias.nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Defence Finance,Shri Ashwini Kumar Tiwari IDAS Sr. Joint CGDA,"Ulan Batar Road, Palam,  Delhi Cantt",01120893004 aktiwari68.dad[at]gov[dot]in,aktiwari68.dad@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Defence Production,Ms. Meera Mohanty Joint Secretary  Pers and Coord,"Department of Defence Production, Room No.135-A, South Block, New Delhi",01123011553 Jscoord-ddp[at]mod.gov[dot]in,Jscoord-ddp@mod.gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Defence Research and Development,Dr Mayank Dwivedi Outstanding Scientist and DG-HR,"Room No. 202, DRDO Bhawan, Rajaji Marg, New Delhi",01123016132 dghr.hqr[at]gov[dot]in,dghr.hqr@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Economic Affairs ACC Division,Ms. Sakshi Mittal Joint Secretary,"Room No. 15033, 5th Floor, A-Wing, Kartavya Bhavan - l, New Delhi",01123095033 sakshi.and[at]nic[dot]in,sakshi.and@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Empowerment of Persons with Disabilities,Ms. Richa Shankar Statistical Advisor,"Department of Empowerment of Persons with Disabilities 5th Floor, Pt Deen Dayal Antyodaya Bhawan CGO Complex, New Delhi",01124364394 ddg-depwd[at]gov[dot]in,ddg-depwd@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Ex Servicemen Welfare,Shri Pudi Hari Prasad Joint Secretary (ESW),"Department of Ex Servicemen Welfare, 99-A South Block, DHQ PO New Delhi",01123011804 jsesw[at]nic[dot]in,jsesw@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Expenditure,Shri Pradeep Kumar Singh Joint Secretary   E.Coord,"D/o Expenditure Room No.74-B, North Block, New Delhi",01123093290 singh.pk[at]nic[dot]in,singh.pk@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Fertilizers,Shri Kuntal Sensarma Sr. Economic Advisor,"23032, Kartavya Bhawan-2, Dr Rajendra Prasad Road, New Delhi 110001",01124014806 Sensarma.kuntal[at]gov[dot]in,Sensarma.kuntal@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Financial Services (Banking Division),Sh HARI HAR MISHRA ADDITIONAL SECRETARY,"Department of Financial Services, Jeevan Deep Builiding, New Delhi",01123346785 mishrahh[at]nic[dot]in,mishrahh@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Financial Services (Insurance Division),Sh Harihar Mishra Additional Secretary,"Department of Financial Services, Jeevan Deep Builiding, New Delhi",01123346785 mishrahh[at]nic[dot]in,mishrahh@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Financial Services (Pension Reforms),Shri Samir Kumar Economic Advisor,"Department of Financial Services - Pension Reforms, Room No. 3, 3rd Floor,  Jeevan Deep Building,  Sansad Marg, New Delhi",01123748774 ea1-dfs[at]gov[dot]in,ea1-dfs@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Fisheries,Sagar Mehra Joint Secretary,"Room No. 482
Krishi Bhawan
New Delhi",011-23383781 sagar.mehra[at]nic[dot]in,sagar.mehra@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Food and Public Distribution,Ms. Nandita Mishra Sr. Economic Advisor,"Department of Food and Public Distribution Room No.194,  Krishi Bhawan, New Delhi",01123070371 nandita.mishra[at]nic[dot]in,nandita.mishra@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Health & Family Welfare,Sh Elangbam Robert Singh Joint Secretary,"Department of Health and Family Welfare, Nirman Bhawan, New Delhi",01123063276 Robert.elangbam[at]gov[dot]in,Robert.elangbam@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
