state,district,department,name,designation,email,source_url
KARNATAKA,BENGALURU URBAN,Police Department,DCP Central,DCP,acpcentraltrafficbcp@ksp.gov.in,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Police Department,DCP West,DCP,dcpwest@ksp.gov.in,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Police Department,DCP East,DCP,dcpeast@ksp.gov.in,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Police Department,DCP South,DCP,,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Police Department,DCP North,DCP,dcpnorth@ksp.gov.in,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Police Department,Additional Director General of Police,Additional Director General,,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Police Department,Commissioner of Police,Commissioner of Police,compolbcp@ksp.gov.in,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Bangalore Water Supply and Sewerage Board,Chairman,Chairman,chairman@bwssb.gov.in,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Karnataka State Pollution Control Board,Chairman,Chairman,chairman@kspcb.gov.in,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Karnataka State Pollution Control Board,Member Secretary,Member Secretary,memsecy@kspcb.gov.in,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Karnataka Slum Board Development Department,Chairman,Chairman,kscb_blr@rediffmail.com,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Karnataka Housing Board,Chairman,Chairman,,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Karnataka Housing Board,Chief Engineer,Chief Engineer,,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Karnataka Housing Board,Commissioner,Commissioner,,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Bangalore Metropolitan Task Force,Additional Director General of Police,Additional Director General of Police,adgp-bmtf-ka@nic.in,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Bangalore Development Authority,Secretary,Secretary,secy@bdabangalore.org,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Bangalore Development Authority,Commissioner,Commissioner,com@bdabangalore.org,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Bruhat Bengaluru Mahanagara Palike,Addl. Commisioner (Administration),Additional Commissioner,addcomm.ad@gmail.com,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Bruhat Bengaluru Mahanagara Palike,Deputy Commissioner (Administration),Deputy Commissioner,bbmplalc@gmail.com,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Bruhat Bengaluru Mahanagara Palike,Joint Commissioner- Byatarayanapur Yelhanka,Joint Commissioner,,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Bruhat Bengaluru Mahanagara Palike,Joint Commissioner East,Joint Commissioner,,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Bruhat Bengaluru Mahanagara Palike,Commissioner BBMP,Commissioner,comm@bbmpgov.in,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Karnataka Industrial Areas Development Board,Chief Executive Officer & Executive Member,Chief Executive Officer & Executive Member,,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Public Instruction Department,DDPI North,Deputy Director of Public Instructions,ddpi-n.edu.karbng@nic.in,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Public Instruction Department,DDPI South,Deputy Director of Public Instructions,ddpi-s.edu.karbng@nic.in,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Public Instruction Department,DDPU South,Deputy Director of Pre University,southddoffice@gmail.com,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Public Instruction Department,DDPU North,Deputy Director of Pre University,ddanpue@gmail.com,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Public Instruction Department,Director PU Board,Director,dir-dpue@karnataka.gov.in,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Zilla Panchayat,AEE Anekal,Assistant Executive Engineer,,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Zilla Panchayat,Assistant Executive Engineer North,Assistant Executive Engineer,,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Zilla Panchayat,AEE East,Assistant Executive Engineer,,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Zilla Panchayat,AEE South,Assistant Executive Engineer,,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Zilla Panchayat,Executive Officer Anekal,Executive Officer,eotpanekal@reddifmail.com,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Zilla Panchayat,Executive Officer East,Executive Officer,eotpeast@gmail.com,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Zilla Panchayat,Executive Officer South,Executive Officer,eotpbangaloresouth@gmail.com,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Zilla Panchayat,Executive Officer North,Executive Officer,eotpnbangal@gmail.com,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,BENGALURU URBAN,Zilla Panchayat,"C.E.O, Zilla Panchayat, Bangalore",Chief Executive Officer,ceobngu@kar.nic.in,https://bengaluruurban.nic.in/en/directory/
KARNATAKA,MYSURU,DC Office Mysuru,,"Deputy Commissioner and District Magistrate , Mysuru District, Mysuru",dcmys-ka@nic.in,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,DC Office Mysuru,,"Additional Deputy Commissioner and Additional District Magistrate, Mysuru District, Mysuru",adcmysuru@gmail.com,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,DC Office Mysuru,,D.C . Office Control Room/DEOC - District Emergency Operating Centre,,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Emergency Helplines,,D.C . Office Control Room/DEOC - District Emergency Operating Centre,,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Emergency Helplines,,Police Control Room,mysorecitypolice@gmail.com,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Regional Commissioner's Office Mysuru,,Regional Commissioner,rcmysuru@gmail.com,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Regional Commissioner's Office Mysuru,,Additional Commissioner,,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Tahasildar Mysuru,,TAHASILDAR – SARGURU,mohana.kumari1980@ka.gov.in,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Tahasildar Mysuru,,TAHASILDAR – SALIGRAMA,rukiyabegum.1982@ka.gov.in,https://mysore.nic.in/en/directory/
