district,department,name,designation,email,source_url
BENGALURU URBAN,Police Department,DCP Central,DCP,acpcentraltrafficbcp@ksp.gov.in,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Police Department,DCP West,DCP,dcpwest@ksp.gov.in,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Police Department,DCP East,DCP,dcpeast@ksp.gov.in,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Police Department,DCP South,DCP,,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Police Department,DCP North,DCP,dcpnorth@ksp.gov.in,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Police Department,Additional Director General of Police,Additional Director General,,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Police Department,Commissioner of Police,Commissioner of Police,compolbcp@ksp.gov.in,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Bangalore Water Supply and Sewerage Board,Chairman,Chairman,chairman@bwssb.gov.in,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Karnataka State Pollution Control Board,Chairman,Chairman,chairman@kspcb.gov.in,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Karnataka State Pollution Control Board,Member Secretary,Member Secretary,memsecy@kspcb.gov.in,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Karnataka Slum Board Development Department,Chairman,Chairman,kscb_blr@rediffmail.com,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Karnataka Housing Board,Chairman,Chairman,,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Karnataka Housing Board,Chief Engineer,Chief Engineer,,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Karnataka Housing Board,Commissioner,Commissioner,,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Bangalore Metropolitan Task Force,Additional Director General of Police,Additional Director General of Police,adgp-bmtf-ka@nic.in,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Bangalore Development Authority,Secretary,Secretary,secy@bdabangalore.org,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Bangalore Development Authority,Commissioner,Commissioner,com@bdabangalore.org,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Bruhat Bengaluru Mahanagara Palike,Addl. Commisioner (Administration),Additional Commissioner,addcomm.ad@gmail.com,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Bruhat Bengaluru Mahanagara Palike,Deputy Commissioner (Administration),Deputy Commissioner,bbmplalc@gmail.com,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Bruhat Bengaluru Mahanagara Palike,Joint Commissioner- Byatarayanapur Yelhanka,Joint Commissioner,,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Bruhat Bengaluru Mahanagara Palike,Joint Commissioner East,Joint Commissioner,,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Bruhat Bengaluru Mahanagara Palike,Commissioner BBMP,Commissioner,comm@bbmpgov.in,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Karnataka Industrial Areas Development Board,Chief Executive Officer & Executive Member,Chief Executive Officer & Executive Member,,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Public Instruction Department,DDPI North,Deputy Director of Public Instructions,ddpi-n.edu.karbng@nic.in,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Public Instruction Department,DDPI South,Deputy Director of Public Instructions,ddpi-s.edu.karbng@nic.in,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Public Instruction Department,DDPU South,Deputy Director of Pre University,southddoffice@gmail.com,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Public Instruction Department,DDPU North,Deputy Director of Pre University,ddanpue@gmail.com,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Public Instruction Department,Director PU Board,Director,dir-dpue@karnataka.gov.in,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Zilla Panchayat,AEE Anekal,Assistant Executive Engineer,,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Zilla Panchayat,Assistant Executive Engineer North,Assistant Executive Engineer,,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Zilla Panchayat,AEE East,Assistant Executive Engineer,,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Zilla Panchayat,AEE South,Assistant Executive Engineer,,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Zilla Panchayat,Executive Officer Anekal,Executive Officer,eotpanekal@reddifmail.com,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Zilla Panchayat,Executive Officer East,Executive Officer,eotpeast@gmail.com,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Zilla Panchayat,Executive Officer South,Executive Officer,eotpbangaloresouth@gmail.com,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Zilla Panchayat,Executive Officer North,Executive Officer,eotpnbangal@gmail.com,https://bengaluruurban.nic.in/en/directory/
BENGALURU URBAN,Zilla Panchayat,"C.E.O, Zilla Panchayat, Bangalore",Chief Executive Officer,ceobngu@kar.nic.in,https://bengaluruurban.nic.in/en/directory/
MYSURU,DC Office Mysuru,"Shri.Lakshmikanth Reddy.G ,I.A.S","Deputy Commissioner and District Magistrate , Mysuru District, Mysuru",dcmys-ka@nic.in,https://mysore.nic.in/en/contact-directory/
MYSURU,DC Office Mysuru,"Smt. R Aishwarya, K.A.S","Additional Deputy Commissioner and Additional District Magistrate, Mysuru District, Mysuru",adcmysuru@gmail.com,https://mysore.nic.in/en/contact-directory/
MYSURU,DC Office Mysuru,DC Office Helpline,D.C . Office Control Room/DEOC - District Emergency Operating Centre,,https://mysore.nic.in/en/contact-directory/
MYSURU,Emergency Helplines,Helpline – Fire Station,,,https://mysore.nic.in/en/contact-directory/
MYSURU,Emergency Helplines,DC Office Helpline,D.C . Office Control Room/DEOC - District Emergency Operating Centre,,https://mysore.nic.in/en/contact-directory/
MYSURU,Emergency Helplines,Helpline – Police Control Room,Police Control Room,mysorecitypolice@gmail.com,https://mysore.nic.in/en/contact-directory/
MYSURU,Regional Commissioner's Office Mysuru,"Shri. Nitesh Patil, I.A.S",Regional Commissioner,rcmysuru@gmail.com,https://mysore.nic.in/en/contact-directory/
MYSURU,Regional Commissioner's Office Mysuru,Smt. Kavitha Rajaram K.A.S (Selection Grade),Additional Commissioner,,https://mysore.nic.in/en/contact-directory/
MYSURU,Tahasildar Mysuru,Mohana kumari,TAHASILDAR – SARGURU,mohana.kumari1980@ka.gov.in,https://mysore.nic.in/en/contact-directory/
MYSURU,Tahasildar Mysuru,Rukiya Begum,TAHASILDAR – SALIGRAMA,rukiyabegum.1982@ka.gov.in,https://mysore.nic.in/en/contact-directory/
MYSURU,Tahasildar Mysuru,Nisarga Priya J,TAHASILDAR – PERIYAPATNA,thapri-rd-ka@nic.in,https://mysore.nic.in/en/contact-directory/
MYSURU,Tahasildar Mysuru,Srinivasa,TAHASILDAR – H.D.KOTE,thahdk-rd-ka@nic.in,https://mysore.nic.in/en/contact-directory/
MYSURU,Tahasildar Mysuru,J Manjunath,TAHASILDAR – HUNSUR,thahun-rd-ka@nic.in,https://mysore.nic.in/en/contact-directory/
MYSURU,Tahasildar Mysuru,Surendra Murthy G,TAHASILDAR – K.R.NAGARA,thakrn-rd-ka@nic.in,https://mysore.nic.in/en/contact-directory/
MYSURU,Tahasildar Mysuru,T G Sureshachar,TAHASILDAR – T.NARASIPURA,thatna-rd-ka@nic.in,https://mysore.nic.in/en/contact-directory/
MYSURU,Tahasildar Mysuru,Dr.Smitha Ramu,TAHASILDAR – NANJANGUD,thanan-rd-ka@nic.in,https://mysore.nic.in/en/contact-directory/
MYSURU,Tahasildar Mysuru,K M Mahesh Kumar,TAHASILDAR – MYSURU,thamys-rd-ka@nic.in,https://mysore.nic.in/en/contact-directory/
MYSURU,Zilla Panchayath Mysuru,"Shri. S UKESH KUMAR , I.A.S",Chief Executive Officer,ceo_zp_mys@nic.in,https://mysore.nic.in/en/contact-directory/
MYSURU,Zilla Panchayath Mysuru,B M Savitha,"Deputy Secretary-1, Zilla Panchayath Mysuru",,https://mysore.nic.in/en/contact-directory/
MYSURU,Zilla Panchayath Mysuru,Bheemappa K Lali,"Deputy Secretary-2, Zilla Panchayath Mysuru",,https://mysore.nic.in/en/contact-directory/
MYSURU,Zilla Panchayath Mysuru,Prabhuswamy (Incharge),"Project Director, D.R.D.A. Zilla Panchayath Mysuru",,https://mysore.nic.in/en/contact-directory/
MYSURU,Zilla Panchayath Mysuru,Smt. Siddagangamma,"Chief Accounts Officer, Zilla Panchayath Mysuru",,https://mysore.nic.in/en/contact-directory/
MYSURU,Zilla Panchayath Mysuru,Prabhuswamy,"Chief Planning Officer, Zilla Panchayath Mysuru",,https://mysore.nic.in/en/contact-directory/
MYSURU,Zilla Panchayath Mysuru,Krishna,"Education Officer, Zilla Panchayath Mysuru",,https://mysore.nic.in/en/contact-directory/
MYSURU,Zilla Panchayath Mysuru,Giridhar,"Asst. Secretary, Zilla Panchayath Mysuru",,https://mysore.nic.in/en/contact-directory/
BELAGAVI,Sample Department,,DC Belagavi,deo.belagavi@gmail.com,https://belagavi.nic.in/en/contact-directory/
TUMAKURU,,Smt. Subha Kalyan.I.A.S,Deputy Commissioner & District Magistrate,dctumkur-ka@nic.in,https://tumkur.nic.in/en/directory/
TUMAKURU,,Dr. N Thippeswamy. K.A.S,Additional Deputy Commissioner & Additional District Magistrate,adc.tumkur@gmail.com,https://tumkur.nic.in/en/directory/
TUMAKURU,,Prabhu G. I.A.S,Chief Executive Officer,ceo-tumakuru@gov.in,https://tumkur.nic.in/en/directory/
TUMAKURU,,Ashok K V. I.P.S,Superintendent of Police,sptkr@ksp.gov.in,https://tumkur.nic.in/en/directory/
DAKSHINA KANNADA,District Administration-Revenue,,Deputy Commissioner,dc.mnglr@gmail.com,https://dk.nic.in/en/contact-directory/
DAKSHINA KANNADA,District Administration-Revenue,,Additional Deputy Commissioner,dc.mnglr@gmail.com,https://dk.nic.in/en/contact-directory/
DAKSHINA KANNADA,District Administration-Revenue,,PD,,https://dk.nic.in/en/contact-directory/
DAKSHINA KANNADA,District Administration-Revenue,,Joint Director Food & Civil Supplies,,https://dk.nic.in/en/contact-directory/
DAKSHINA KANNADA,District Administration-Revenue,,DDLR,,https://dk.nic.in/en/contact-directory/
