organisation,officer_name_designation,address,phone_fax_raw,email,source_url
Administrative Reforms and Public Grievances - PG Division,Sardendu Kumar Pandey Director,"5th Floor Sardar Patel Bhawan Sansad Marg, New Delhi",01123401455 Director-pg[at]gov[dot]in,Director-pg@gov.in,https://pgportal.gov.in/Home/NodalPgOfficers
Agriculture and Farmers Welfare,Shri Rajesh Kumar Deputy Secretary PG,Room No. 434 Krishi Bhavan New Delhi,01123074238 rajesh.kumar67[at]nic[dot]in,rajesh.kumar67@nic.in,https://pgportal.gov.in/Home/NodalPgOfficers
Agriculture Research and Education,Narendra Kumar Deputy Secretary,"R No. 207, Krishi Bhawan, New Delhi",01123046678 narendra.kumar74[at]nic[dot]in,narendra.kumar74@nic.in,https://pgportal.gov.in/Home/NodalPgOfficers
"Animal Husbandry, Dairying",RPS Rathore Director,"Room No. 297, 2nd Floor, Krishi Bhavan, New Delhi",01123385797 r.rathore[at]gov[dot]in,r.rathore@gov.in,https://pgportal.gov.in/Home/NodalPgOfficers
Atomic Energy,Shri K.V. Madhavadas Deputy Secretary,"D/o Atomic Energy, Anushakti Bhavan, 3rd Floor, C S M Marg, MUMBAI",02222862516 dsscs[at]dae.gov[dot]in,dsscs@dae.gov.in,https://pgportal.gov.in/Home/NodalPgOfficers
Ayush,Dr Srinivas Rao Chinta Joint Adviser,"AYUSH BHAWAN, GPO COMPLEX,B BLOCK,INA ,NEW DELHI",01124656948 ayush-cdn[at]gov[dot]in,ayush-cdn@gov.in,https://pgportal.gov.in/Home/NodalPgOfficers
Bio Technology,Rajesh Kumar Singh Director,"Room No. 504, Block No. 3, 5th Floor, CGO Complex, Lodi Road, New Delhi",01124363656 rajesh.kumar[at]gov[dot]in,rajesh.kumar@gov.in,https://pgportal.gov.in/Home/NodalPgOfficers
Central Board of Direct Taxes (Income Tax),Swapna Devireddy Addl. Director of Income Tax TPS-II,"4th Floor, Mayur Bhawan, Connaught Circus, New Delhi",01123416133 delhi.addldit.eservices[at]incometax.gov[dot]in,delhi.addldit.eservices@incometax.gov.in,https://pgportal.gov.in/Home/NodalPgOfficers
Central Board of Excise and Customs,Ms. Ranjana Chaudhary Joint Director,"Directorate General of Taxpayer Services, Room no  168, Ist Floor,  Central Revenue Building, I.P. Es tate, New Delhi",01123370576 ranjana.chaudhary[at]gov[dot]in,ranjana.chaudhary@gov.in,https://pgportal.gov.in/Home/NodalPgOfficers
Chemicals and Petrochemicals,Shri. Chitvan Singh Dhillon Deputy Director,"Room No. 223 A , Shastri Bhavan, New Delhi",01123386083 chitvan.dhillon[at]gov[dot]in,chitvan.dhillon@gov.in,https://pgportal.gov.in/Home/NodalPgOfficers
Civil Aviation,Shri Sudhansu Sekhar Mishra Deputy Secretary and PGO,"Room. No.C-27, Ground Floor, B-Block, Rajiv Gandhi Bhawan, Safdarjung Airport, New Delhi",01124610364 ss.mishra[at]nic[dot]in,ss.mishra@nic.in,https://pgportal.gov.in/Home/NodalPgOfficers
Coal,Smt Chetna Shukla Deputy Director General,"Ministry of Coal, 5rd Floor, Lok Nayak Bhawan, New Delhi",01124699948 chetna.shukla[at]nic[dot]in,chetna.shukla@nic.in,https://pgportal.gov.in/Home/NodalPgOfficers
Commerce,Shri Govind Mishra Deputy Secretary,"Vanijya Bhavan, New Delhi",01123038552 jspg-doc[at]gov[dot]in,jspg-doc@gov.in,https://pgportal.gov.in/Home/NodalPgOfficers
Consumer Affairs,Shri Prashant Dubey Director,Room No.372 - B Krishi Bhavan New Delhi,01123384390 dspg-ca[at]gov[dot]in,dspg-ca@gov.in,https://pgportal.gov.in/Home/NodalPgOfficers
Cooperation,Shri Goonjan Kumar Joint  Director,"Atal Akshay Urja Bhawan, CGO Complex, Lodhi Road, New Delhi",01120849009 dir.cd3-coop[at]gov[dot]in,dir.cd3-coop@gov.in,https://pgportal.gov.in/Home/NodalPgOfficers
Corporate Affairs,C.M. Karlmarx Joint Director,"Kota House, New Delhi",01123385285 cm.karlmarx[at]gov[dot]in,cm.karlmarx@gov.in,https://pgportal.gov.in/Home/NodalPgOfficers
Culture,Randheep Thakur Director,"Room No. 220075, Kartavya Bhawan-II, Ministry of Culture,  New Delhi",01124014233 randheep.thakur[at]nic[dot]in,randheep.thakur@nic.in,https://pgportal.gov.in/Home/NodalPgOfficers
Defence,Shri Manish Tripathi JS MIS,"Room No. 198A, South Block New Delhi",01123017828 usdpg-mod[at]gov[dot]in,usdpg-mod@gov.in,https://pgportal.gov.in/Home/NodalPgOfficers
Defence Finance,Dr. Ishita Ganguli Tripathy Addl. Financial Advisor and Joint Secretary,"Room No 26039, 6th Floor Kartavya Bhawan-2, New Delhi",01124014414 addl.fa1-dad[at]gov[dot]in,addl.fa1-dad@gov.in,https://pgportal.gov.in/Home/NodalPgOfficers
Defence Production,Dr. Meetu Agarwal Director Coord DDP,"Room No. 25103, Kartavya Bhawan- 2, New Delhi",01124015526 dir-coord[at]ddpmod.gov[dot]in,dir-coord@ddpmod.gov.in,https://pgportal.gov.in/Home/NodalPgOfficers
Defence Research and Development,Dr. Sanjai Kumar Dwivedi Sc G and Director Human Resource & Vigilance,"DRDO HQrs, Min of Defence, Room No. 217, DRDO Bhawan, Rajaji Marg, New Delhi",01123007218 director-dhrv[at]gov[dot]in,director-dhrv@gov.in,https://pgportal.gov.in/Home/NodalPgOfficers
Development of North Eastern Region,Shri Jitendra R. Gaikwad Joint Secretary,"Room No. 11 Block- 12A  Jodhpur Officers Hostel, Pandara Park",01121411638 JR.Gaikwad[at]nic[dot]in,JR.Gaikwad@nic.in,https://pgportal.gov.in/Home/NodalPgOfficers
