organisation,officer_name_designation,address,phone_fax_raw,email,source_url
Andhra Pradesh,Chinna Rao CGO-CMO,"Public Grievance Redressal Cell, CMO Block-01, Gro und Floor, A.P. State Secretariat, Velagapudi, Ama ravathi",09154267973 pgrs-helpdesk[at]ap.gov[dot]in,pgrs-helpdesk@ap.gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Arunachal Pradesh,Shri Mari Angu Joint Secretary,"Civil Secretariat Block No. 04, Floor No. 05, Room No.08, Itanagar",03602222222 mari.angu[at]gov[dot]in,mari.angu@gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Assam,Shri Utpal Borah ACS State Nodal Officer,"Joint Secretary to the Govt. of Assam, Administrat ive Reforms, Training, Pension and Public Grievanc es Department, Assam Secretariat",03612237323 artassamdept[at]gmail[dot]com,artassamdept@gmail.com,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Bihar,Miss Vineeta DS,"General Administration Department, Patna",06122215409 publicgrievances-bih[at]gov[dot]in,publicgrievances-bih@gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Chattisgarh,Shri HEMANT KUMAR PANDEY UNDER SECRETARY,"Public Grievance Redressal Department, Mantralaya Mahanadi Bhavan Nava Raipur Atal nagar",07712510974 pgc-gad.cg[at]gov[dot]in,pgc-gad.cg@gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Goa,DIksha N Tari Under Secretary PG,"2nd Floor, Secretariat, Porvorim Goa",08322419864 us-pgc.goa[at]nic[dot]in,us-pgc.goa@nic.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Gujarat,Shri Hareet Shukla Principal Secretary,"General Administration Department Block No. 7/3, 3rd Floor, Sachivalaya, Gandhi Nagar",07923255969 secartd[at]gujarat.gov[dot]in,secartd@gujarat.gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Haryana,VACANT Nodal Officer CPGRAMS,Chandigarh,01722740226 supdt.cpgrams22[at]gmail[dot]com,supdt.cpgrams22@gmail.com,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Himachal Pradesh,Shainamol A Secretary - AR RPG Training and FA Ayush,Secretary RPG to the Govt. of HP. Shimla-2.,01772620560 rpgsecy-hp[at]nic[dot]in,rpgsecy-hp@nic.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Jharkhand,Md. Asif Hassan Joint Secretary,"Personnel, Administrative Reforms and Rajhbhasha Department, Jharkhand, Ranchi",18003456568 pgportal.jhr[at]gmail[dot]com,pgportal.jhr@gmail.com,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Karnataka,Suma.S Under Secretary,"Room  211, 2nd Floor, 3rd Gate, M S Building, Beng aluru,                                           G RIEVANCE STATUS LINK  https ipgrs.karnataka.gov.in",08022032214 us2dpar-js[at]karnataka.gov[dot]in,us2dpar-js@karnataka.gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
