state,district,local_body_name,local_body_type,lgd_local_body_code
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Port Blair,Municipality,253098
ANDHRA PRADESH,PRAKASAM,Addanki,Town Panchayat,257868
ANDHRA PRADESH,KURNOOL,Adoni,Municipality,251792
ANDHRA PRADESH,WEST GODAVARI,AKIVEEDU,Town Panchayat,296256
ANDHRA PRADESH,KURNOOL,Allagadda,Town Panchayat,253272
ANDHRA PRADESH,SRIKAKULAM,Amadalavalasa,Town Panchayat,251699
ANDHRA PRADESH,EAST GODAVARI,Amalapuram,Municipality,251735
ANDHRA PRADESH,ANANTAPUR,ANANTAPUR,Municipal Corporation,248112
ANDHRA PRADESH,SPSR NELLORE,Atmakur,Municipality,258033
ANDHRA PRADESH,KURNOOL,Atmakur (Kurnool),Municipality,253270
ANDHRA PRADESH,Y.S.R.,BADVEL,Municipality,248111
ANDHRA PRADESH,GUNTUR,Bapatla,Municipality,251760
ANDHRA PRADESH,KURNOOL,BETHAMCHERLA,Town Panchayat,296260
ANDHRA PRADESH,WEST GODAVARI,Bhimavaram,Municipality,251741
ANDHRA PRADESH,VIZIANAGARAM,Bobbili,Municipality,251702
ANDHRA PRADESH,SPSR NELLORE,Buchireddypalem,Town Panchayat,296328
ANDHRA PRADESH,GUNTUR,Chilakaluripeta,Municipality,251756
ANDHRA PRADESH,PRAKASAM,chimakurthy,Town Panchayat,253274
ANDHRA PRADESH,PRAKASAM,Chirala,Municipality,251763
ANDHRA PRADESH,CHITTOOR,CHITTOOR,Municipal Corporation,248122
ANDHRA PRADESH,Y.S.R.,Cuddapah,Municipal Corporation,251782
ANDHRA PRADESH,GUNTUR,DACHEPALLI,Town Panchayat,296261
ANDHRA PRADESH,PRAKASAM,DARSI,Town Panchayat,296263
ANDHRA PRADESH,ANANTAPUR,DHARMAVARAM,Municipality,248115
ANDHRA PRADESH,KURNOOL,Dhone(M),Municipality,253169
ANDHRA PRADESH,WEST GODAVARI,Eluru,Municipal Corporation,251739
ANDHRA PRADESH,PRAKASAM,Giddalur,Town Panchayat,257869
ANDHRA PRADESH,EAST GODAVARI,Gollaprolu,Town Panchayat,277316
ANDHRA PRADESH,ANANTAPUR,Gooty,Municipality,251797
ANDHRA PRADESH,KRISHNA,Gudivada,Municipality,251747
ANDHRA PRADESH,SPSR NELLORE,GUDUR,Municipality,263068
ANDHRA PRADESH,KURNOOL,Gudur (kurnool),Town Panchayat,251773
ANDHRA PRADESH,ANANTAPUR,GUNTAKAL,Municipality,248113
ANDHRA PRADESH,GUNTUR,Guntur,Municipal Corporation,251757
ANDHRA PRADESH,GUNTUR,GURAJALA,Town Panchayat,296262
ANDHRA PRADESH,ANANTAPUR,HINDUPUR,Municipality,248118
ANDHRA PRADESH,SRIKAKULAM,Ichchapuram,Town Panchayat,251696
ANDHRA PRADESH,KRISHNA,Jaggiahpet,Municipality,277319
ANDHRA PRADESH,Y.S.R.,Jammalamadugu,Municipality,251780
ANDHRA PRADESH,WEST GODAVARI,Jangareddygudem,Municipality,257906
ANDHRA PRADESH,ANANTAPUR,KADIRI,Municipality,248116
ANDHRA PRADESH,EAST GODAVARI,Kakinada,Municipal Corporation,251731
ANDHRA PRADESH,ANANTAPUR,Kalyandurg,Municipality,251799
ANDHRA PRADESH,Y.S.R.,KAMALAPURAM,Town Panchayat,296259
ANDHRA PRADESH,PRAKASAM,Kandukur,Municipality,251768
ANDHRA PRADESH,PRAKASAM,kanigiri,Town Panchayat,253295
ANDHRA PRADESH,SPSR NELLORE,Kavali,Municipality,251770
ANDHRA PRADESH,KRISHNA,KONDAPALLI,Municipality,296264
ANDHRA PRADESH,WEST GODAVARI,Kovvur,Municipality,251736
ANDHRA PRADESH,CHITTOOR,KUPPAM,Municipality,296257
ANDHRA PRADESH,KURNOOL,Kurnool,Municipal Corporation,251789
ANDHRA PRADESH,GUNTUR,Macherla,Municipality,251751
ANDHRA PRADESH,KRISHNA,Machilipatnam Municipal Corporation,Municipal Corporation,251750
ANDHRA PRADESH,ANANTAPUR,Madakasira,Town Panchayat,253253
ANDHRA PRADESH,CHITTOOR,MADANAPALLI,Municipality,248119
ANDHRA PRADESH,EAST GODAVARI,Mandapeta,Municipality,251732
ANDHRA PRADESH,GUNTUR,Mangalagiri,Municipality,251752
ANDHRA PRADESH,PRAKASAM,Markapur,Municipality,251762
ANDHRA PRADESH,EAST GODAVARI,Mummidivaram,Town Panchayat,277315
